date,account,signals_scanned,orders_sent,orders_skipped,orders_error,symbols_sent,baseline_equity,current_equity,floating_pnl,daily_pnl_pct,open_positions,drawdown_halted,connection_error,hourly_breakdown
2026-07-29,Konto 1 (TTP),47,1,39,0,ADI,98146.49,97883.83,528.36,-0.002676203703260335,CAH(+242.90); LUV(-22.95); AMD(-120.19); UPS(-63.36); STX(+258.60); WDC(+198.18); FTNT(+139.25); CMI(+34.35); MU(-64.94); ADI(-73.48),False,,
2026-07-30,Konto 1 (TTP),96,1,87,0,WM,99275.91,100174.1,1168.89,0.009047411401215082,CAH(+154.00); LUV(+31.95); AMD(+259.56); UPS(-60.00); WDC(+596.34); MU(+193.52); ADI(+26.73); WM(-33.21),False,,"[{""time"": ""15:35"", ""signals_scanned"": 12, ""sent"": 0, ""sent_symbols"": [], ""pending_placed"": 0, ""pending_symbols"": [], ""skipped"": 12, ""error"": 0, ""be_moved"": 1, ""pending_cancelled"": 0, ""drawdown_halted"": false, ""scan_failed"": false}, {""time"": ""15:58"", ""signals_scanned"": 12, ""sent"": 0, ""sent_symbols"": [], ""pending_placed"": 3, ""pending_symbols"": [""LRCX"", ""CAT"", ""FLEX""], ""skipped"": 9, ""error"": 0, ""be_moved"": 2, ""pending_cancelled"": 0, ""drawdown_halted"": false, ""scan_failed"": false}, {""time"": ""16:01"", ""signals_scanned"": 12, ""sent"": 0, ""sent_symbols"": [], ""pending_placed"": 3, ""pending_symbols"": [""LRCX"", ""CAT"", ""FLEX""], ""skipped"": 9, ""error"": 0, ""be_moved"": 2, ""pending_cancelled"": 0, ""drawdown_halted"": false, ""scan_failed"": false}, {""time"": ""16:35"", ""signals_scanned"": 12, ""sent"": 0, ""sent_symbols"": [], ""pending_placed"": 1, ""pending_symbols"": [""CMI""], ""skipped"": 11, ""error"": 0, ""be_moved"": 1, ""pending_cancelled"": 0, ""drawdown_halted"": false, ""scan_failed"": false}, {""time"": ""17:35"", ""signals_scanned"": 12, ""sent"": 0, ""sent_symbols"": [], ""pending_placed"": 0, ""pending_symbols"": [], ""skipped"": 12, ""error"": 0, ""be_moved"": 0, ""pending_cancelled"": 0, ""drawdown_halted"": false, ""scan_failed"": false}, {""time"": ""18:35"", ""signals_scanned"": 12, ""sent"": 0, ""sent_symbols"": [], ""pending_placed"": 0, ""pending_symbols"": [], ""skipped"": 12, ""error"": 0, ""be_moved"": 0, ""pending_cancelled"": 0, ""drawdown_halted"": false, ""scan_failed"": false}, {""time"": ""19:35"", ""signals_scanned"": 0, ""sent"": 0, ""sent_symbols"": [], ""pending_placed"": 0, ""pending_symbols"": [], ""skipped"": 0, ""error"": 0, ""be_moved"": 0, ""pending_cancelled"": 0, ""drawdown_halted"": false, ""scan_failed"": true}, {""time"": ""20:35"", ""signals_scanned"": 12, ""sent"": 1, ""sent_symbols"": [""WM""], ""pending_placed"": 0, ""pending_symbols"": [], ""skipped"": 11, ""error"": 0, ""be_moved"": 0, ""pending_cancelled"": 0, ""drawdown_halted"": false, ""scan_failed"": false}, {""time"": ""21:35"", ""signals_scanned"": 12, ""sent"": 0, ""sent_symbols"": [], ""pending_placed"": 0, ""pending_symbols"": [], ""skipped"": 11, ""error"": 0, ""be_moved"": 1, ""pending_cancelled"": 0, ""drawdown_halted"": false, ""scan_failed"": false}]"
2026-07-31,Konto 1 (TTP),58,1,57,0,AAPL,100754.58,,,,,False,"mt5.initialize failed: (-10005, 'IPC timeout')","[{""time"": ""15:04"", ""signals_scanned"": 0, ""sent"": 0, ""sent_symbols"": [], ""pending_placed"": 0, ""pending_symbols"": [], ""skipped"": 0, ""error"": 0, ""be_moved"": 0, ""pending_cancelled"": 0, ""drawdown_halted"": false, ""scan_failed"": false}, {""time"": ""15:35"", ""signals_scanned"": 12, ""sent"": 0, ""sent_symbols"": [], ""pending_placed"": 0, ""pending_symbols"": [], ""skipped"": 12, ""error"": 0, ""be_moved"": 0, ""pending_cancelled"": 4, ""drawdown_halted"": false, ""scan_failed"": false}, {""time"": ""15:40"", ""signals_scanned"": 12, ""sent"": 0, ""sent_symbols"": [], ""pending_placed"": 0, ""pending_symbols"": [], ""skipped"": 12, ""error"": 0, ""be_moved"": 0, ""pending_cancelled"": 0, ""drawdown_halted"": false, ""scan_failed"": false}, {""time"": ""15:42"", ""signals_scanned"": 12, ""sent"": 0, ""sent_symbols"": [], ""pending_placed"": 0, ""pending_symbols"": [], ""skipped"": 12, ""error"": 0, ""be_moved"": 0, ""pending_cancelled"": 0, ""drawdown_halted"": false, ""scan_failed"": false}, {""time"": ""16:38"", ""signals_scanned"": 12, ""sent"": 0, ""sent_symbols"": [], ""pending_placed"": 0, ""pending_symbols"": [], ""skipped"": 12, ""error"": 0, ""be_moved"": 0, ""pending_cancelled"": 1, ""drawdown_halted"": false, ""scan_failed"": false}, {""time"": ""17:41"", ""signals_scanned"": 0, ""sent"": 0, ""sent_symbols"": [], ""pending_placed"": 0, ""pending_symbols"": [], ""skipped"": 0, ""error"": 0, ""be_moved"": 0, ""pending_cancelled"": 0, ""drawdown_halted"": false, ""scan_failed"": false}, {""time"": ""18:35"", ""signals_scanned"": 10, ""sent"": 1, ""sent_symbols"": [""AAPL""], ""pending_placed"": 0, ""pending_symbols"": [], ""skipped"": 9, ""error"": 0, ""be_moved"": 0, ""pending_cancelled"": 0, ""drawdown_halted"": false, ""scan_failed"": false}, {""time"": ""20:37"", ""signals_scanned"": 0, ""sent"": 0, ""sent_symbols"": [], ""pending_placed"": 0, ""pending_symbols"": [], ""skipped"": 0, ""error"": 0, ""be_moved"": 0, ""pending_cancelled"": 1, ""drawdown_halted"": false, ""scan_failed"": false}]"
2026-07-31,"Konto 2 (TTP, Demo)",58,0,58,0,,99971.21,,,,,False,"mt5.initialize failed: (-10005, 'IPC timeout')","[{""time"": ""15:05"", ""signals_scanned"": 0, ""sent"": 0, ""sent_symbols"": [], ""pending_placed"": 0, ""pending_symbols"": [], ""skipped"": 0, ""error"": 0, ""be_moved"": 0, ""pending_cancelled"": 0, ""drawdown_halted"": false, ""scan_failed"": false}, {""time"": ""15:35"", ""signals_scanned"": 12, ""sent"": 0, ""sent_symbols"": [], ""pending_placed"": 0, ""pending_symbols"": [], ""skipped"": 12, ""error"": 0, ""be_moved"": 0, ""pending_cancelled"": 0, ""drawdown_halted"": false, ""scan_failed"": false}, {""time"": ""15:40"", ""signals_scanned"": 12, ""sent"": 0, ""sent_symbols"": [], ""pending_placed"": 0, ""pending_symbols"": [], ""skipped"": 12, ""error"": 0, ""be_moved"": 0, ""pending_cancelled"": 0, ""drawdown_halted"": false, ""scan_failed"": false}, {""time"": ""15:42"", ""signals_scanned"": 12, ""sent"": 0, ""sent_symbols"": [], ""pending_placed"": 0, ""pending_symbols"": [], ""skipped"": 12, ""error"": 0, ""be_moved"": 0, ""pending_cancelled"": 0, ""drawdown_halted"": false, ""scan_failed"": false}, {""time"": ""16:38"", ""signals_scanned"": 12, ""sent"": 0, ""sent_symbols"": [], ""pending_placed"": 0, ""pending_symbols"": [], ""skipped"": 12, ""error"": 0, ""be_moved"": 0, ""pending_cancelled"": 0, ""drawdown_halted"": false, ""scan_failed"": false}, {""time"": ""17:41"", ""signals_scanned"": 0, ""sent"": 0, ""sent_symbols"": [], ""pending_placed"": 0, ""pending_symbols"": [], ""skipped"": 0, ""error"": 0, ""be_moved"": 0, ""pending_cancelled"": 0, ""drawdown_halted"": false, ""scan_failed"": false}, {""time"": ""18:35"", ""signals_scanned"": 10, ""sent"": 0, ""sent_symbols"": [], ""pending_placed"": 0, ""pending_symbols"": [], ""skipped"": 10, ""error"": 0, ""be_moved"": 0, ""pending_cancelled"": 0, ""drawdown_halted"": false, ""scan_failed"": false}, {""time"": ""20:37"", ""signals_scanned"": 0, ""sent"": 0, ""sent_symbols"": [], ""pending_placed"": 0, ""pending_symbols"": [], ""skipped"": 0, ""error"": 0, ""be_moved"": 0, ""pending_cancelled"": 0, ""drawdown_halted"": false, ""scan_failed"": false}]"
2026-07-31,Konto 3 (Tickmill),58,0,58,0,,3464.43,,,,,False,"mt5.initialize failed: (-10005, 'IPC timeout')","[{""time"": ""15:07"", ""signals_scanned"": 0, ""sent"": 0, ""sent_symbols"": [], ""pending_placed"": 0, ""pending_symbols"": [], ""skipped"": 0, ""error"": 0, ""be_moved"": 0, ""pending_cancelled"": 0, ""drawdown_halted"": false, ""scan_failed"": false}, {""time"": ""15:35"", ""signals_scanned"": 12, ""sent"": 0, ""sent_symbols"": [], ""pending_placed"": 0, ""pending_symbols"": [], ""skipped"": 12, ""error"": 0, ""be_moved"": 0, ""pending_cancelled"": 0, ""drawdown_halted"": false, ""scan_failed"": false}, {""time"": ""15:40"", ""signals_scanned"": 12, ""sent"": 0, ""sent_symbols"": [], ""pending_placed"": 0, ""pending_symbols"": [], ""skipped"": 12, ""error"": 0, ""be_moved"": 0, ""pending_cancelled"": 0, ""drawdown_halted"": false, ""scan_failed"": false}, {""time"": ""15:42"", ""signals_scanned"": 12, ""sent"": 0, ""sent_symbols"": [], ""pending_placed"": 0, ""pending_symbols"": [], ""skipped"": 12, ""error"": 0, ""be_moved"": 0, ""pending_cancelled"": 0, ""drawdown_halted"": false, ""scan_failed"": false}, {""time"": ""16:38"", ""signals_scanned"": 12, ""sent"": 0, ""sent_symbols"": [], ""pending_placed"": 0, ""pending_symbols"": [], ""skipped"": 12, ""error"": 0, ""be_moved"": 0, ""pending_cancelled"": 0, ""drawdown_halted"": false, ""scan_failed"": false}, {""time"": ""17:41"", ""signals_scanned"": 0, ""sent"": 0, ""sent_symbols"": [], ""pending_placed"": 0, ""pending_symbols"": [], ""skipped"": 0, ""error"": 0, ""be_moved"": 0, ""pending_cancelled"": 0, ""drawdown_halted"": false, ""scan_failed"": false}, {""time"": ""18:35"", ""signals_scanned"": 10, ""sent"": 0, ""sent_symbols"": [], ""pending_placed"": 0, ""pending_symbols"": [], ""skipped"": 10, ""error"": 0, ""be_moved"": 0, ""pending_cancelled"": 0, ""drawdown_halted"": false, ""scan_failed"": false}, {""time"": ""20:37"", ""signals_scanned"": 0, ""sent"": 0, ""sent_symbols"": [], ""pending_placed"": 0, ""pending_symbols"": [], ""skipped"": 0, ""error"": 0, ""be_moved"": 0, ""pending_cancelled"": 0, ""drawdown_halted"": false, ""scan_failed"": false}]"
2026-08-01,Konto 1 (TTP),0,0,0,0,,,,,,,False,"mt5.initialize failed: (-10005, 'IPC timeout')",[]
2026-08-01,"Konto 2 (TTP, Demo)",0,0,0,0,,,,,,,False,"mt5.initialize failed: (-10005, 'IPC timeout')",[]
2026-08-01,Konto 3 (Tickmill),0,0,0,0,,,,,,,False,"mt5.initialize failed: (-10005, 'IPC timeout')",[]
2026-08-02,Konto 1 (TTP),0,0,0,0,,,100498.17,659.8199999999999,,CAH(+282.45); LUV(+4.95); AMD(+220.29); UPS(-67.92); MU(+111.52); ADI(+68.64); CAT(-11.68); WM(-18.63); TROW(-40.92); AAPL(+111.12),False,,"[{""time"": ""20:37"", ""signals_scanned"": 0, ""sent"": 0, ""sent_symbols"": [], ""pending_placed"": 0, ""pending_symbols"": [], ""skipped"": 0, ""error"": 0, ""be_moved"": 0, ""pending_cancelled"": 0, ""drawdown_halted"": false, ""scan_failed"": false}]"
2026-08-02,"Konto 2 (TTP, Demo)",0,0,0,0,,,99910.61,-73.67,,ADI(-34.06); LUV(-28.52); UPS(-48.84); TROW(-44.64); AAPL(+82.39),False,,"[{""time"": ""20:37"", ""signals_scanned"": 0, ""sent"": 0, ""sent_symbols"": [], ""pending_placed"": 0, ""pending_symbols"": [], ""skipped"": 0, ""error"": 0, ""be_moved"": 0, ""pending_cancelled"": 0, ""drawdown_halted"": false, ""scan_failed"": false}]"
